clients,diproctacanthus_xanthurus,labroides_dimidiatus,lysmata_amboinensis,ancylomenes_holthuisi,ancylomenes_magnificus,urocaridella_b,urocaridella_c
acanthochromis_polyacanthus,1,14,0,0,0,0,0
acanthuridae_yellow_j,0,2,0,0,0,0,0
acanthurus_pyroferus,0,1,0,0,0,0,0
ambliglyphidodon_curacao,17,16,0,0,0,0,0
amphiprion_biaculeatus,0,3,0,0,0,0,0
apogon_sp,1,0,0,0,0,0,0
archamia_zosterophora,0,4,0,0,0,0,0
balistipus_undulatus,1,5,0,0,0,0,0
blenny_tine,1,0,0,0,0,0,0
brilliant_red_stripe_tiny_fish,8,2,0,0,0,0,0
caesio_cunning,6,22,0,0,0,0,0
centropyge_vrolicki,1,0,0,0,0,0,0
cephalopholis_boenak,3,7,0,0,0,0,0
chaetodon_octofasciatus,1,0,0,0,0,0,0
chaetodon_reticulatus,1,0,0,0,0,0,0
chaetodon_trifascialis,3,0,0,0,0,0,0
cheilinus_fasciatus,1,1,0,0,0,0,0
cheilodipeterus_sp,0,1,0,0,0,0,0
cheilodopterus_quinquelineatus,6,0,0,0,0,0,0
chelinus_diagramma,0,1,0,0,0,0,0
chlorurus_sordidus,0,2,0,0,0,0,0
chromis_ternatensis,76,51,0,0,0,0,0
chromis_viridis,0,2,0,0,0,0,0
chrysipetera_rollandi,1,2,0,0,0,0,0
chrysipetra_parasema,14,3,0,0,0,0,0
cirripectis_sp,1,0,0,0,0,0,0
coris_brown,1,0,0,0,0,0,0
ctenochaetus_binotatus,1,1,0,0,0,0,0
ctenochaetus_tominiensis,42,53,0,0,0,0,0
ctenochetus_striatus,6,27,0,0,0,0,0
diproctacanthus_xanthurus,0,1,0,0,0,0,0
epibulus_insidiator,0,3,0,0,0,0,0
halichoeres_biocellatus,1,2,0,0,0,0,0
halichoeres_greenish,0,1,0,0,0,0,0
halichoeres_melanurus,23,16,0,0,0,0,0
halichoeres_red,0,1,0,0,0,0,0
halichoeres_sp,0,2,0,0,0,0,0
hemiglyphidodon_plegiometopon,2,3,0,0,0,0,0
heniochus_varius,0,6,0,0,0,0,0
labroides_dimidiatus,0,1,0,0,0,0,0
labrychthis_unilineatus,1,2,0,0,0,0,0
monotaxis_grandoculis,0,3,0,0,0,0,0
myripristis_sp,0,17,0,0,0,0,0
neopomacentrus_azysron,4,68,0,0,0,0,0
oxycheilinus_fasciatus,0,3,0,0,0,0,0
plagiotremas_laudanus,1,2,0,0,0,0,0
plectroglyphidodon_dickii,9,8,0,0,0,0,0
pomacentrus_adelus,0,1,0,0,0,0,0
pomacentrus_burroughi,12,21,0,0,0,0,0
pomacentrus_leucogaster,3,0,0,0,0,0,0
pomacentrus_moluccensis,8,0,0,0,0,0,0
pomacentrus_ngazakiensis,3,1,0,0,0,0,0
pomacentrus_nigromanus,38,34,0,0,0,0,0
pomacentrus_smithii,47,21,0,0,0,0,0
pseudoanthias_tuka,8,31,0,0,0,0,0
pseudocheilinus_hexataenia,6,6,0,0,0,0,0
pseudochromis_fuscus,2,1,0,0,0,0,0
pseudochromis_yamashiroi,3,0,0,0,0,0,0
scarus_bleekeri,0,1,0,0,0,0,0
scarus_flavopectoralis,1,0,0,0,0,0,0
scarus_sp,1,0,0,0,0,0,0
scolopsis_margaritifer,0,1,0,0,0,0,0
siganus_j,0,3,0,0,0,0,0
stegastes_lacrymatus,0,3,0,0,0,0,0
thalassoma_lunare,0,3,0,0,0,0,0
tinquelin_sp,2,0,0,0,0,0,0
zebrasoma_scopas,4,3,0,0,0,0,0
blennie,0,0,0,1,0,0,0
cheiliniustrilobatus,0,0,0,2,0,1,0
cheliniustrilobatus,0,0,0,2,0,1,0
epinephelustukula,0,0,0,1,0,0,0
goby,0,0,0,5,0,0,0
heniochusdiphreutes,0,0,0,4,0,0,0
neopomabankieri,0,0,2,0,0,0,0
parapercissp,0,0,0,1,0,0,0
parupleurostigma,0,0,0,1,0,0,0
paustralis,0,0,3,7,0,1,0
plataxteira,0,0,0,1,0,0,0
plectoralbovittatus,0,0,0,0,0,1,0
pomacentrid,0,0,0,1,0,0,0
pomamoluccensis,0,0,1,1,0,0,0
scolopsisbilineatus,0,0,0,1,0,0,0
scolopsismonogramma,0,0,0,1,0,0,0
sdoliatus,0,0,0,2,0,0,0
synodusdermatogenys,0,0,0,2,0,0,0
taeniuralymma,0,0,0,0,0,1,0
acanthusnigricaudus,0,0,0,0,0,0,1
apofragilis,0,0,0,0,0,1,1
apogonendekataena,0,0,0,0,0,1,1
apogonichthysocellatus,0,0,0,0,0,0,1
apogonleptacanthus,0,0,0,0,0,1,1
apogragilis,0,0,0,0,0,0,1
archamiafucata,0,0,0,0,0,0,1
cephalopholisargus,0,0,0,0,0,1,1
cheilodipterusquinquelineatus,0,0,0,1,0,0,1
chromisiomelas,0,0,0,0,0,0,1
cromileptesaltivelis,0,0,0,0,0,0,1
ctenochaetusstriatus,0,0,0,0,0,2,1
plectorhinchuslineatus,0,0,0,0,0,0,1
plectropomuslaevis,0,0,0,0,0,0,1
pomacoelestis,0,0,1,0,0,0,1
pseudochromispaccagnellae,0,0,0,0,0,0,1
pteroisvolitans,0,0,0,0,0,0,1
sargocentronrubrum,0,0,0,0,0,0,1
slineatus,0,0,0,3,3,2,1
assessormacneilli,0,0,0,0,0,1,2
lutjanuscarponotatus,0,0,0,0,0,0,2
neopomacyanomos,0,0,0,0,0,0,2
plecthorchaeto,0,0,0,0,0,1,2
apagonid,0,0,1,0,0,1,3
dpictum,0,0,0,53,1,4,3
plectropomusmaculatus,0,0,0,2,0,1,3
plectorcelebicus,0,0,0,9,0,2,4
sargocentronspiniferum,0,0,0,0,0,1,4
cminiata,0,0,0,0,0,2,5
pomacanthussextriatus,0,0,0,2,0,2,5
apodoederleini,0,0,0,1,0,5,6
ccyanostigma,0,0,0,4,0,11,18
cboenak,0,0,0,1,0,10,23
